     Pays de destination,Date,Value,continent,Continent Total
TOTAL,2006-12-01,21572.699999999986,AFRIQUE,34470.499999999985
  I. EUROPE,2007-01-01,0.0,AFRIQUE,34470.499999999985
   1. Union Européenne,2007-01-01,0.0,AFRIQUE,34470.499999999985
   2. AUTRES,2007-01-01,0.0,AFRIQUE,34470.499999999985
II. ASIE,2007-01-01,0.0,,
III. AFRIQUE,2007-01-01,0.0,,
  I. EUROPE,2007-02-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-02-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-02-01,0.0,AFRIQUE,0.0
II. ASIE,2007-02-01,0.0,,
III. AFRIQUE,2007-02-01,0.0,,
  I. EUROPE,2007-03-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-03-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-03-01,0.0,AFRIQUE,0.0
II. ASIE,2007-03-01,0.0,,
III. AFRIQUE,2007-03-01,0.0,,
  I. EUROPE,2007-04-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-04-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-04-01,0.0,AFRIQUE,0.0
II. ASIE,2007-04-01,0.0,,
III. AFRIQUE,2007-04-01,0.0,,
  I. EUROPE,2007-05-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-05-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-05-01,0.0,AFRIQUE,0.0
II. ASIE,2007-05-01,0.0,,
III. AFRIQUE,2007-05-01,0.0,,
  I. EUROPE,2007-06-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-06-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-06-01,0.0,AFRIQUE,0.0
II. ASIE,2007-06-01,0.0,,
III. AFRIQUE,2007-06-01,0.0,,
  I. EUROPE,2007-07-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-07-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-07-01,0.0,AFRIQUE,0.0
II. ASIE,2007-07-01,0.0,,
III. AFRIQUE,2007-07-01,0.0,,
  I. EUROPE,2007-08-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-08-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-08-01,0.0,AFRIQUE,0.0
II. ASIE,2007-08-01,0.0,,
III. AFRIQUE,2007-08-01,0.0,,
  I. EUROPE,2007-09-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-09-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-09-01,0.0,AFRIQUE,0.0
II. ASIE,2007-09-01,0.0,,
III. AFRIQUE,2007-09-01,0.0,,
  I. EUROPE,2007-10-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-10-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-10-01,0.0,AFRIQUE,0.0
II. ASIE,2007-10-01,0.0,,
III. AFRIQUE,2007-10-01,0.0,,
  I. EUROPE,2007-11-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-11-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-11-01,0.0,AFRIQUE,0.0
II. ASIE,2007-11-01,0.0,,
III. AFRIQUE,2007-11-01,0.0,,
  I. EUROPE,2007-12-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2007-12-01,0.0,AFRIQUE,0.0
   2. AUTRES,2007-12-01,0.0,AFRIQUE,0.0
II. ASIE,2007-12-01,0.0,,
III. AFRIQUE,2007-12-01,0.0,,
  I. EUROPE,2008-01-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-01-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-01-01,0.0,AFRIQUE,0.0
II. ASIE,2008-01-01,0.0,,
III. AFRIQUE,2008-01-01,0.0,,
  I. EUROPE,2008-02-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-02-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-02-01,0.0,AFRIQUE,0.0
II. ASIE,2008-02-01,0.0,,
III. AFRIQUE,2008-02-01,0.0,,
  I. EUROPE,2008-03-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-03-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-03-01,0.0,AFRIQUE,0.0
II. ASIE,2008-03-01,0.0,,
III. AFRIQUE,2008-03-01,0.0,,
  I. EUROPE,2008-04-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-04-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-04-01,0.0,AFRIQUE,0.0
II. ASIE,2008-04-01,0.0,,
III. AFRIQUE,2008-04-01,0.0,,
  I. EUROPE,2008-05-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-05-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-05-01,0.0,AFRIQUE,0.0
II. ASIE,2008-05-01,0.0,,
III. AFRIQUE,2008-05-01,0.0,,
  I. EUROPE,2008-06-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-06-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-06-01,0.0,AFRIQUE,0.0
II. ASIE,2008-06-01,0.0,,
III. AFRIQUE,2008-06-01,0.0,,
  I. EUROPE,2008-07-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-07-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-07-01,0.0,AFRIQUE,0.0
II. ASIE,2008-07-01,0.0,,
III. AFRIQUE,2008-07-01,0.0,,
  I. EUROPE,2008-08-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-08-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-08-01,0.0,AFRIQUE,0.0
II. ASIE,2008-08-01,0.0,,
III. AFRIQUE,2008-08-01,0.0,,
  I. EUROPE,2008-09-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-09-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-09-01,0.0,AFRIQUE,0.0
II. ASIE,2008-09-01,0.0,,
III. AFRIQUE,2008-09-01,0.0,,
  I. EUROPE,2008-10-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-10-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-10-01,0.0,AFRIQUE,0.0
II. ASIE,2008-10-01,0.0,,
III. AFRIQUE,2008-10-01,0.0,,
  I. EUROPE,2008-11-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-11-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-11-01,0.0,AFRIQUE,0.0
II. ASIE,2008-11-01,0.0,,
III. AFRIQUE,2008-11-01,0.0,,
  I. EUROPE,2008-12-01,0.0,AFRIQUE,0.0
   1. Union Européenne,2008-12-01,0.0,AFRIQUE,0.0
   2. AUTRES,2008-12-01,0.0,AFRIQUE,0.0
II. ASIE,2008-12-01,0.0,,
III. AFRIQUE,2008-12-01,0.0,,
  I. EUROPE,2009-01-01,1953.3999999999935,AFRIQUE,1953.3999999999935
   1. Union Européenne,2009-01-01,1872.8999999999935,AFRIQUE,3826.299999999987
     Allemagne,2009-01-01,80.6,AFRIQUE,3906.899999999987
     Belgique - Luxembourg,2009-01-01,1040.0999999999935,AFRIQUE,4946.99999999998
     Danemark,2009-01-01,3.3,AFRIQUE,4950.29999999998
     Espagne,2009-01-01,51.0,AFRIQUE,5001.29999999998
     France,2009-01-01,240.4,AFRIQUE,5241.69999999998
     Grèce,2009-01-01,0.0,AFRIQUE,5241.69999999998
     Irlande,2009-01-01,0.0,AFRIQUE,5241.69999999998
     Italie,2009-01-01,182.7,AFRIQUE,5424.39999999998
     Pays-Bas,2009-01-01,200.7,AFRIQUE,5625.099999999979
     Portugal,2009-01-01,0.0,AFRIQUE,5625.099999999979
     Roumanie,2009-01-01,0.0,AFRIQUE,5625.099999999979
     Autres pays de l'U.E.,2009-01-01,74.1,AFRIQUE,5699.19999999998
   2. AUTRES,2009-01-01,80.5,AFRIQUE,5779.69999999998
     Suisse,2009-01-01,0.9,AFRIQUE,5780.599999999979
     Turquie,2009-01-01,0.0,AFRIQUE,5780.599999999979
     Royaume-Uni,2009-01-01,56.1,AFRIQUE,5836.69999999998
     Russie,2009-01-01,2.0,AFRIQUE,5838.69999999998
     Autres pays d'Europe,2009-01-01,21.5,AFRIQUE,5860.19999999998
II. ASIE,2009-01-01,7873.6,,
     Arabie Saoudite,2009-01-01,3088.8,ASIE,3088.8
     Bangladesh,2009-01-01,0.0,ASIE,3088.8
     Corée du Nord,2009-01-01,0.0,ASIE,3088.8
     Corée du Sud,2009-01-01,27.5,ASIE,3116.3
     Emirats Arabes Unis,2009-01-01,0.0,ASIE,3116.3
     Hong-Kong,2009-01-01,9.6,ASIE,3125.9
     Iran,2009-01-01,131.0,ASIE,3256.9
     Japon,2009-01-01,219.0,ASIE,3475.9
     Pakistan,2009-01-01,0.0,ASIE,3475.9
     Rép. Pop. de Chine,2009-01-01,1192.6,ASIE,4668.5
     Taiwan,2009-01-01,0.0,ASIE,4668.5
     Union Indienne,2009-01-01,181.3,ASIE,4849.8
     Autres pays d'Asie,2009-01-01,3023.8,ASIE,7873.6
III. AFRIQUE,2009-01-01,15105.800000000001,,
     Afrique du Sud,2009-01-01,14.0,AFRIQUE,14.0
     Djibouti,2009-01-01,0.0,AFRIQUE,14.0
     Kenya,2009-01-01,2368.3,AFRIQUE,2382.3
     Ouganda,2009-01-01,7335.7,AFRIQUE,9718.0
     R.D.C.(1) ,2009-01-01,16.6,AFRIQUE,9734.6
     Rwanda,2009-01-01,220.1,AFRIQUE,9954.7
     Tanzanie,2009-01-01,2669.0,AFRIQUE,12623.7
     Zambie,2009-01-01,1010.7,AFRIQUE,13634.400000000001
     Zimbabwe,2009-01-01,18.0,AFRIQUE,13652.400000000001
     Autres pays d'Afrique,2009-01-01,1453.4,AFRIQUE,15105.800000000001
 IV. AMERIQUE,2009-01-01,358.9,AFRIQUE,15464.7
       Etats-Unis ,2009-01-01,84.0,AFRIQUE,15548.7
       Canada,2009-01-01,262.0,AFRIQUE,15810.7
       Autres pays d'Amérique,2009-01-01,12.9,AFRIQUE,15823.6
  V. OCEANIE,2009-01-01,2.6,AFRIQUE,15826.2
        Australie,2009-01-01,0.0,AFRIQUE,15826.2
        Autres,2009-01-01,2.6,AFRIQUE,15828.800000000001
 VI. PAYS NON SPECIFIES,2009-01-01,0.0,AFRIQUE,15828.800000000001
TOTAL,2009-01-01,25294.299999999996,AFRIQUE,41123.1
  I. EUROPE,2009-02-01,3482.7000000000135,AFRIQUE,44605.80000000001
   1. Union Européenne,2009-02-01,3008.3000000000134,AFRIQUE,47614.10000000002
     Allemagne,2009-02-01,87.5,AFRIQUE,47701.60000000002
     Belgique - Luxembourg,2009-02-01,1779.0000000000132,AFRIQUE,49480.600000000035
     Danemark,2009-02-01,56.2,AFRIQUE,49536.80000000003
     Espagne,2009-02-01,12.200000000000003,AFRIQUE,49549.00000000003
     France,2009-02-01,533.3000000000001,AFRIQUE,50082.30000000003
     Grèce,2009-02-01,0.0,AFRIQUE,50082.30000000003
     Irlande,2009-02-01,0.0,AFRIQUE,50082.30000000003
     Italie,2009-02-01,235.7,AFRIQUE,50318.00000000003
     Pays-Bas,2009-02-01,232.5,AFRIQUE,50550.50000000003
     Portugal,2009-02-01,0.0,AFRIQUE,50550.50000000003
     Roumanie,2009-02-01,0.0,AFRIQUE,50550.50000000003
     Autres pays de l'U.E.,2009-02-01,71.9,AFRIQUE,50622.40000000003
   2. AUTRES,2009-02-01,474.4,AFRIQUE,51096.80000000003
     Suisse,2009-02-01,43.0,AFRIQUE,51139.80000000003
     Turquie,2009-02-01,0.0,AFRIQUE,51139.80000000003
     Royaume-Uni,2009-02-01,39.4,AFRIQUE,51179.20000000003
     Russie,2009-02-01,0.0,AFRIQUE,51179.20000000003
     Autres pays d'Europe,2009-02-01,392.0,AFRIQUE,51571.20000000003
II. ASIE,2009-02-01,12007.899999999998,,
     Arabie Saoudite,2009-02-01,5180.999999999999,ASIE,5180.999999999999
     Bangladesh,2009-02-01,0.0,ASIE,5180.999999999999
     Corée du Nord,2009-02-01,1.5,ASIE,5182.499999999999
     Corée du Sud,2009-02-01,0.0,ASIE,5182.499999999999
     Emirats Arabes Unis,2009-02-01,0.0,ASIE,5182.499999999999
     Hong-Kong,2009-02-01,28.0,ASIE,5210.499999999999
     Iran,2009-02-01,321.0,ASIE,5531.499999999999
     Japon,2009-02-01,148.0,ASIE,5679.499999999999
     Pakistan,2009-02-01,495.2,ASIE,6174.699999999999
     Rép. Pop. de Chine,2009-02-01,1138.4,ASIE,7313.0999999999985
     Taiwan,2009-02-01,0.0,ASIE,7313.0999999999985
     Union Indienne,2009-02-01,446.8,ASIE,7759.899999999999
     Autres pays d'Asie,2009-02-01,4248.0,ASIE,12007.899999999998
III. AFRIQUE,2009-02-01,14976.599999999997,,
     Afrique du Sud,2009-02-01,248.7,AFRIQUE,248.7
     Djibouti,2009-02-01,0.0,AFRIQUE,248.7
     Kenya,2009-02-01,2078.0999999999995,AFRIQUE,2326.7999999999993
     Ouganda,2009-02-01,8339.099999999999,AFRIQUE,10665.899999999998
     R.D.C.(1) ,2009-02-01,0.3999999999999986,AFRIQUE,10666.299999999997
     Rwanda,2009-02-01,180.6,AFRIQUE,10846.899999999998
     Tanzanie,2009-02-01,3392.3999999999996,AFRIQUE,14239.299999999997
     Zambie,2009-02-01,663.0,AFRIQUE,14902.299999999997
     Zimbabwe,2009-02-01,1.0,AFRIQUE,14903.299999999997
     Autres pays d'Afrique,2009-02-01,73.29999999999995,AFRIQUE,14976.599999999997
 IV. AMERIQUE,2009-02-01,3215.9,AFRIQUE,18192.499999999996
       Etats-Unis ,2009-02-01,360.1,AFRIQUE,18552.599999999995
       Canada,2009-02-01,2842.9,AFRIQUE,21395.499999999996
       Autres pays d'Amérique,2009-02-01,12.9,AFRIQUE,21408.399999999998
  V. OCEANIE,2009-02-01,3.6,AFRIQUE,21411.999999999996
        Australie,2009-02-01,1.0,AFRIQUE,21412.999999999996
        Autres,2009-02-01,2.6,AFRIQUE,21415.599999999995
 VI. PAYS NON SPECIFIES,2009-02-01,0.0,AFRIQUE,21415.599999999995
TOTAL,2009-02-01,33686.700000000004,AFRIQUE,55102.3
  I. EUROPE,2009-03-01,3955.1,AFRIQUE,59057.4
   1. Union Européenne,2009-03-01,2007.6999999999998,AFRIQUE,61065.1
     Allemagne,2009-03-01,88.29999999999998,AFRIQUE,61153.4
     Belgique - Luxembourg,2009-03-01,1239.1999999999998,AFRIQUE,62392.6
     Danemark,2009-03-01,7.900000000000006,AFRIQUE,62400.5
     Espagne,2009-03-01,18.299999999999997,AFRIQUE,62418.8
     France,2009-03-01,166.39999999999998,AFRIQUE,62585.200000000004
     Grèce,2009-03-01,0.0,AFRIQUE,62585.200000000004
     Irlande,2009-03-01,0.0,AFRIQUE,62585.200000000004
     Italie,2009-03-01,213.20000000000005,AFRIQUE,62798.4
     Pays-Bas,2009-03-01,156.00000000000006,AFRIQUE,62954.4
     Portugal,2009-03-01,0.0,AFRIQUE,62954.4
     Roumanie,2009-03-01,0.0,AFRIQUE,62954.4
     Autres pays de l'U.E.,2009-03-01,118.39999999999998,AFRIQUE,63072.8
   2. AUTRES,2009-03-01,1947.4,AFRIQUE,65020.200000000004
     Suisse,2009-03-01,152.5,AFRIQUE,65172.700000000004
     Turquie,2009-03-01,0.0,AFRIQUE,65172.700000000004
     Royaume-Uni,2009-03-01,1789.3,AFRIQUE,66962.0
     Russie,2009-03-01,0.20000000000000018,AFRIQUE,66962.2
     Autres pays d'Europe,2009-03-01,5.399999999999977,AFRIQUE,66967.59999999999
II. ASIE,2009-03-01,8269.8,,
     Arabie Saoudite,2009-03-01,6152.0,ASIE,6152.0
     Bangladesh,2009-03-01,18.5,ASIE,6170.5
     Corée du Nord,2009-03-01,0.0,ASIE,6170.5
     Corée du Sud,2009-03-01,64.0,ASIE,6234.5
     Emirats Arabes Unis,2009-03-01,0.0,ASIE,6234.5
     Hong-Kong,2009-03-01,22.0,ASIE,6256.5
     Iran,2009-03-01,21.0,ASIE,6277.5
     Japon,2009-03-01,203.0,ASIE,6480.5
     Pakistan,2009-03-01,0.0,ASIE,6480.5
     Rép. Pop. de Chine,2009-03-01,1444.9,ASIE,7925.4
     Taiwan,2009-03-01,0.0,ASIE,7925.4
     Union Indienne,2009-03-01,543.4999999999999,ASIE,8468.9
     Autres pays d'Asie,2009-03-01,-199.10000000000036,ASIE,8269.8
III. AFRIQUE,2009-03-01,20034.6,,
     Afrique du Sud,2009-03-01,240.3,AFRIQUE,240.3
     Djibouti,2009-03-01,0.0,AFRIQUE,240.3
     Kenya,2009-03-01,2583.5,AFRIQUE,2823.8
     Ouganda,2009-03-01,7607.5,AFRIQUE,10431.3
     R.D.C.(1) ,2009-03-01,44.5,AFRIQUE,10475.8
     Rwanda,2009-03-01,464.90000000000003,AFRIQUE,10940.699999999999
     Tanzanie,2009-03-01,3751.8999999999996,AFRIQUE,14692.599999999999
     Zambie,2009-03-01,1235.9999999999998,AFRIQUE,15928.599999999999
     Zimbabwe,2009-03-01,18.0,AFRIQUE,15946.599999999999
     Autres pays d'Afrique,2009-03-01,4088.0,AFRIQUE,20034.6
 IV. AMERIQUE,2009-03-01,107.1999999999997,AFRIQUE,20141.8
       Etats-Unis ,2009-03-01,3.8999999999999773,AFRIQUE,20145.7
       Canada,2009-03-01,91.79999999999973,AFRIQUE,20237.5
       Autres pays d'Amérique,2009-03-01,11.499999999999996,AFRIQUE,20249.0
  V. OCEANIE,2009-03-01,19.200000000000003,AFRIQUE,20268.2
        Australie,2009-03-01,16.6,AFRIQUE,20284.8
        Autres,2009-03-01,2.5999999999999996,AFRIQUE,20287.399999999998
 VI. PAYS NON SPECIFIES,2009-03-01,0.0,AFRIQUE,20287.399999999998
TOTAL,2009-03-01,32385.9,AFRIQUE,52673.3
  I. EUROPE,2009-04-01,1919.5999999999588,AFRIQUE,54592.899999999965
   1. Union Européenne,2009-04-01,1438.0999999999588,AFRIQUE,56030.99999999993
     Allemagne,2009-04-01,9.600000000000023,AFRIQUE,56040.599999999926
     Belgique - Luxembourg,2009-04-01,207.49999999995907,AFRIQUE,56248.09999999988
     Danemark,2009-04-01,14.699999999999989,AFRIQUE,56262.79999999988
     Espagne,2009-04-01,17.5,AFRIQUE,56280.29999999988
     France,2009-04-01,240.30000000000007,AFRIQUE,56520.59999999988
     Grèce,2009-04-01,0.0,AFRIQUE,56520.59999999988
     Irlande,2009-04-01,0.0,AFRIQUE,56520.59999999988
     Italie,2009-04-01,540.4999999999999,AFRIQUE,57061.09999999988
     Pays-Bas,2009-04-01,177.69999999999993,AFRIQUE,57238.79999999988
     Portugal,2009-04-01,67.0,AFRIQUE,57305.79999999988
     Roumanie,2009-04-01,0.0,AFRIQUE,57305.79999999988
     Autres pays de l'U.E.,2009-04-01,163.3,AFRIQUE,57469.09999999988
   2. AUTRES,2009-04-01,481.5,AFRIQUE,57950.59999999988
     Suisse,2009-04-01,46.0,AFRIQUE,57996.59999999988
     Turquie,2009-04-01,0.0,AFRIQUE,57996.59999999988
     Royaume-Uni,2009-04-01,272.29999999999995,AFRIQUE,58268.899999999885
     Russie,2009-04-01,0.0,AFRIQUE,58268.899999999885
     Autres pays d'Europe,2009-04-01,163.20000000000005,AFRIQUE,58432.09999999988
II. ASIE,2009-04-01,9632.0,,
     Arabie Saoudite,2009-04-01,5585.0,ASIE,5585.0
     Bangladesh,2009-04-01,0.0,ASIE,5585.0
     Corée du Nord,2009-04-01,0.0,ASIE,5585.0
     Corée du Sud,2009-04-01,82.0,ASIE,5667.0
     Emirats Arabes Unis,2009-04-01,0.0,ASIE,5667.0
     Hong-Kong,2009-04-01,1.6999999999999957,ASIE,5668.7
     Iran,2009-04-01,0.0,ASIE,5668.7
     Japon,2009-04-01,203.0,ASIE,5871.7
     Pakistan,2009-04-01,0.0,ASIE,5871.7
     Rép. Pop. de Chine,2009-04-01,1001.4999999999995,ASIE,6873.199999999999
     Taiwan,2009-04-01,0.0,ASIE,6873.199999999999
     Union Indienne,2009-04-01,671.5,ASIE,7544.699999999999
     Autres pays d'Asie,2009-04-01,2087.3,ASIE,9632.0
III. AFRIQUE,2009-04-01,17678.8,,
     Afrique du Sud,2009-04-01,270.9,AFRIQUE,270.9
     Djibouti,2009-04-01,0.0,AFRIQUE,270.9
     Kenya,2009-04-01,2501.7000000000007,AFRIQUE,2772.600000000001
     Ouganda,2009-04-01,7691.5,AFRIQUE,10464.1
     R.D.C.(1) ,2009-04-01,0.29999999999999716,AFRIQUE,10464.4
     Rwanda,2009-04-01,414.80000000000007,AFRIQUE,10879.199999999999
     Tanzanie,2009-04-01,4677.5,AFRIQUE,15556.699999999999
     Zambie,2009-04-01,743.0,AFRIQUE,16299.699999999999
     Zimbabwe,2009-04-01,33.0,AFRIQUE,16332.699999999999
     Autres pays d'Afrique,2009-04-01,1346.1000000000004,AFRIQUE,17678.8
 IV. AMERIQUE,2009-04-01,221.60000000000036,AFRIQUE,17900.4
       Etats-Unis ,2009-04-01,25.19999999999999,AFRIQUE,17925.600000000002
       Canada,2009-04-01,183.10000000000036,AFRIQUE,18108.700000000004
       Autres pays d'Amérique,2009-04-01,13.300000000000004,AFRIQUE,18122.000000000004
  V. OCEANIE,2009-04-01,0.20000000000000018,AFRIQUE,18122.200000000004
        Australie,2009-04-01,0.0,AFRIQUE,18122.200000000004
        Autres,2009-04-01,0.20000000000000018,AFRIQUE,18122.400000000005
 VI. PAYS NON SPECIFIES,2009-04-01,17.8,AFRIQUE,18140.200000000004
TOTAL,2009-04-01,29469.999999999956,AFRIQUE,47610.19999999996
  I. EUROPE,2009-05-01,1796.000000000038,AFRIQUE,49406.2
   1. Union Européenne,2009-05-01,1662.000000000038,AFRIQUE,51068.20000000003
     Allemagne,2009-05-01,89.0,AFRIQUE,51157.20000000003
     Belgique - Luxembourg,2009-05-01,754.200000000038,AFRIQUE,51911.400000000074
     Danemark,2009-05-01,10.900000000000006,AFRIQUE,51922.300000000076
     Espagne,2009-05-01,41.0,AFRIQUE,51963.300000000076
     France,2009-05-01,250.5999999999999,AFRIQUE,52213.900000000074
     Grèce,2009-05-01,5.0,AFRIQUE,52218.900000000074
     Irlande,2009-05-01,0.0,AFRIQUE,52218.900000000074
     Italie,2009-05-01,295.9000000000001,AFRIQUE,52514.800000000076
     Pays-Bas,2009-05-01,99.10000000000002,AFRIQUE,52613.900000000074
     Portugal,2009-05-01,68.0,AFRIQUE,52681.900000000074
     Roumanie,2009-05-01,3.0,AFRIQUE,52684.900000000074
     Autres pays de l'U.E.,2009-05-01,45.30000000000001,AFRIQUE,52730.20000000008
   2. AUTRES,2009-05-01,134.00000000000009,AFRIQUE,52864.20000000008
     Suisse,2009-05-01,102.4,AFRIQUE,52966.60000000008
     Turquie,2009-05-01,0.0,AFRIQUE,52966.60000000008
     Royaume-Uni,2009-05-01,30.90000000000009,AFRIQUE,52997.50000000008
     Russie,2009-05-01,-0.20000000000000018,AFRIQUE,52997.30000000008
     Autres pays d'Europe,2009-05-01,0.8999999999999773,AFRIQUE,52998.200000000084
II. ASIE,2009-05-01,7553.5,,
     Arabie Saoudite,2009-05-01,3798.0,ASIE,3798.0
     Bangladesh,2009-05-01,-0.5,ASIE,3797.5
     Corée du Nord,2009-05-01,-0.5,ASIE,3797.0
     Corée du Sud,2009-05-01,2.5,ASIE,3799.5
     Emirats Arabes Unis,2009-05-01,0.0,ASIE,3799.5
     Hong-Kong,2009-05-01,-0.29999999999999716,ASIE,3799.2
     Iran,2009-05-01,0.0,ASIE,3799.2
     Japon,2009-05-01,255.0,ASIE,4054.2
     Pakistan,2009-05-01,74.80000000000001,ASIE,4129.0
     Rép. Pop. de Chine,2009-05-01,1345.6000000000004,ASIE,5474.6
     Taiwan,2009-05-01,0.0,ASIE,5474.6
     Union Indienne,2009-05-01,761.9000000000001,ASIE,6236.5
     Autres pays d'Asie,2009-05-01,1317.0,ASIE,7553.5
III. AFRIQUE,2009-05-01,13977.900000000001,,
     Afrique du Sud,2009-05-01,830.1,AFRIQUE,830.1
     Djibouti,2009-05-01,0.0,AFRIQUE,830.1
     Kenya,2009-05-01,2214.3999999999996,AFRIQUE,3044.4999999999995
     Ouganda,2009-05-01,5395.200000000001,AFRIQUE,8439.7
     R.D.C.(1) ,2009-05-01,9.200000000000003,AFRIQUE,8448.900000000001
     Rwanda,2009-05-01,411.5999999999999,AFRIQUE,8860.500000000002
     Tanzanie,2009-05-01,2409.2000000000007,AFRIQUE,11269.700000000003
     Zambie,2009-05-01,1214.0,AFRIQUE,12483.700000000003
     Zimbabwe,2009-05-01,3.0,AFRIQUE,12486.700000000003
     Autres pays d'Afrique,2009-05-01,1491.1999999999998,AFRIQUE,13977.900000000001
 IV. AMERIQUE,2009-05-01,216.30000000000004,AFRIQUE,14194.2
       Etats-Unis ,2009-05-01,102.40000000000003,AFRIQUE,14296.6
       Canada,2009-05-01,79.5,AFRIQUE,14376.1
       Autres pays d'Amérique,2009-05-01,34.4,AFRIQUE,14410.5
  V. OCEANIE,2009-05-01,0.3999999999999986,AFRIQUE,14410.9
        Australie,2009-05-01,0.3999999999999986,AFRIQUE,14411.3
        Autres,2009-05-01,0.0,AFRIQUE,14411.3
 VI. PAYS NON SPECIFIES,2009-05-01,0.0,AFRIQUE,14411.3
TOTAL,2009-05-01,23544.10000000004,AFRIQUE,37955.40000000004
  I. EUROPE,2009-06-01,1324.7709999999731,AFRIQUE,39280.17100000001
   1. Union Européenne,2009-06-01,1265.070999999973,AFRIQUE,40545.241999999984
     Allemagne,2009-06-01,91.60000000000002,AFRIQUE,40636.84199999998
     Belgique - Luxembourg,2009-06-01,311.170999999973,AFRIQUE,40948.012999999955
     Danemark,2009-06-01,118.80000000000001,AFRIQUE,41066.81299999996
     Espagne,2009-06-01,17.80000000000001,AFRIQUE,41084.61299999996
     France,2009-06-01,83.09999999999991,AFRIQUE,41167.71299999996
     Grèce,2009-06-01,0.5,AFRIQUE,41168.21299999996
     Irlande,2009-06-01,0.0,AFRIQUE,41168.21299999996
     Italie,2009-06-01,429.70000000000005,AFRIQUE,41597.91299999996
     Pays-Bas,2009-06-01,28.899999999999977,AFRIQUE,41626.81299999996
     Portugal,2009-06-01,0.0,AFRIQUE,41626.81299999996
     Roumanie,2009-06-01,3.5999999999999996,AFRIQUE,41630.41299999996
     Autres pays de l'U.E.,2009-06-01,179.89999999999998,AFRIQUE,41810.31299999996
   2. AUTRES,2009-06-01,59.70000000000012,AFRIQUE,41870.012999999955
     Suisse,2009-06-01,21.0,AFRIQUE,41891.012999999955
     Turquie,2009-06-01,0.0,AFRIQUE,41891.012999999955
     Royaume-Uni,2009-06-01,36.90000000000009,AFRIQUE,41927.91299999996
     Russie,2009-06-01,0.20000000000000018,AFRIQUE,41928.112999999954
     Autres pays d'Europe,2009-06-01,1.6000000000000227,AFRIQUE,41929.71299999995
II. ASIE,2009-06-01,7484.199999999999,,
     Arabie Saoudite,2009-06-01,2088.0,ASIE,2088.0
     Bangladesh,2009-06-01,19.1,ASIE,2107.1
     Corée du Nord,2009-06-01,23.6,ASIE,2130.7
     Corée du Sud,2009-06-01,0.0,ASIE,2130.7
     Emirats Arabes Unis,2009-06-01,0.0,ASIE,2130.7
     Hong-Kong,2009-06-01,1.7999999999999972,ASIE,2132.5
     Iran,2009-06-01,21.0,ASIE,2153.5
     Japon,2009-06-01,218.0,ASIE,2371.5
     Pakistan,2009-06-01,0.20000000000004547,ASIE,2371.7
     Rép. Pop. de Chine,2009-06-01,1702.8999999999996,ASIE,4074.5999999999995
     Taiwan,2009-06-01,0.0,ASIE,4074.5999999999995
     Union Indienne,2009-06-01,428.1999999999998,ASIE,4502.799999999999
     Autres pays d'Asie,2009-06-01,2981.3999999999996,ASIE,7484.199999999999
